"","X1","FECHA","NOMBRE_DIA","FESTIVO"
"589",589,"8/12/2015","MIERCOLES","0"
"590",590,"8/13/2015","JUEVES","0"
"591",591,"8/14/2015","VIERNES","0"
"592",592,"8/15/2015","SÁBADO","0"
"593",593,"8/16/2015","DOMINGO","0"
"594",594,"8/17/2015","LUNES","2"
"595",595,"8/18/2015","MARTES","0"
"596",596,"8/19/2015","MIERCOLES","0"
"597",597,"8/20/2015","JUEVES","0"
"598",598,"8/21/2015","VIERNES","0"
"599",599,"8/22/2015","SÁBADO","0"
"600",600,"8/23/2015","DOMINGO","0"
"601",601,"8/24/2015","LUNES","0"
"602",602,"8/25/2015","MARTES","0"
"603",603,"8/26/2015","MIERCOLES","0"
"604",604,"8/27/2015","JUEVES","0"
"605",605,"8/28/2015","VIERNES","0"
"606",606,"8/29/2015","SÁBADO","0"
"607",607,"8/30/2015","DOMINGO","0"
"608",608,"8/31/2015","LUNES","0"
"609",609,"9/1/2015","MARTES","0"
"610",610,"9/2/2015","MIERCOLES","0"
"611",611,"9/3/2015","JUEVES","0"
"612",612,"9/4/2015","VIERNES","0"
"613",613,"9/5/2015","SÁBADO","0"
"614",614,"9/6/2015","DOMINGO","0"
"615",615,"9/7/2015","LUNES","0"
